date,team_1,score_1,team_2,score_2,url,type
10/05/2025,FURIA,0,The MongolZ,0,https://www.hltv.org/matches/2382203/the-mongolz-vs-furia-pgl-astana-2025,upcoming
09/04/2025,FURIA,0,The MongolZ,2,https://www.hltv.org/matches/2381321/furia-vs-the-mongolz-pgl-bucharest-2025,result
08/04/2025,FURIA,0,Virtus.pro,2,https://www.hltv.org/matches/2381310/furia-vs-virtuspro-pgl-bucharest-2025,result
07/04/2025,FURIA,1,Complexity,2,https://www.hltv.org/matches/2381306/furia-vs-complexity-pgl-bucharest-2025,result
06/04/2025,FURIA,2,Betclic,0,https://www.hltv.org/matches/2381258/furia-vs-betclic-pgl-bucharest-2025,result
22/03/2025,FURIA,1,M80,2,https://www.hltv.org/matches/2380117/m80-vs-furia-blast-open-lisbon-2025,result
20/03/2025,FURIA,0,Natus Vincere,2,https://www.hltv.org/matches/2380007/natus-vincere-vs-furia-blast-open-lisbon-2025,result
10/03/2025,FURIA,1,Falcons,2,https://www.hltv.org/matches/2380068/falcons-vs-furia-esl-pro-league-season-21,result
09/03/2025,FURIA,2,MIBR,1,https://www.hltv.org/matches/2380061/furia-vs-mibr-esl-pro-league-season-21,result
08/03/2025,FURIA,0,Liquid,2,https://www.hltv.org/matches/2380054/liquid-vs-furia-esl-pro-league-season-21,result
07/03/2025,FURIA,1,MOUZ,2,https://www.hltv.org/matches/2380042/mouz-vs-furia-esl-pro-league-season-21,result
05/03/2025,FURIA,2,M80,1,https://www.hltv.org/matches/2380038/furia-vs-m80-esl-pro-league-season-21-stage-1,result
04/03/2025,FURIA,2,NRG,1,https://www.hltv.org/matches/2380035/furia-vs-nrg-esl-pro-league-season-21-stage-1,result
03/03/2025,FURIA,0,MIBR,2,https://www.hltv.org/matches/2380026/furia-vs-mibr-esl-pro-league-season-21-stage-1,result
02/03/2025,FURIA,1,SAW,2,https://www.hltv.org/matches/2380018/furia-vs-saw-esl-pro-league-season-21-stage-1,result
01/03/2025,FURIA,2,Lynn Vision,0,https://www.hltv.org/matches/2379996/furia-vs-lynn-vision-esl-pro-league-season-21-stage-1,result
03/02/2025,FURIA,1,Astralis,2,https://www.hltv.org/matches/2378901/furia-vs-astralis-iem-katowice-2025,result
